Provinsi,percent_mudah,mudah_minsd,mudah_plussd,percent_sulit,sulit_minsd,sulit_plussd,percent_sangat_sulit,ssulit_minussd,ssulit_plussd
Aceh,29.8,27.9,31.7,41.8,39.6,44.1,28.4,26.3,30.5
Sumatera Utara,38.8,37.1,40.4,36.7,35,38.5,24.5,23,26.1
Sumatera Barat,35.1,32.9,37.4,38.1,35.8,40.4,26.8,24.7,29
Riau,36.6,34.3,38.9,28,25.6,30.5,35.4,32.9,38
Jambi,25.3,22.9,27.9,32.7,29.8,35.8,41.9,39.1,44.8
Sumatera Selatan,24.9,23,27,33,30.4,35.7,42,39.6,44.5
Bengkulu,33.3,30.8,35.9,38.7,35.9,41.7,28,25.3,30.8
Lampung,26.6,24.3,29.1,38.1,35.6,40.7,35.3,32.8,37.9
Bangka Belitung,46.5,43.3,49.7,30.7,27.4,34.3,22.8,19.8,26.1
Kepulauan Riau,59.3,54.7,63.7,25.5,21.4,30.1,15.2,12.4,18.6
DKI Jakarta,52.3,49.9,54.7,31.5,29.4,33.8,16.2,14.3,18.2
Jawa Barat,32.3,31,33.6,38.2,36.9,39.5,29.5,28.3,30.8
Jawa Tengah,40.9,39.8,42.1,41.3,40.1,42.5,17.8,16.8,18.8
DI Yogyakarta,70.6,68,73.2,21.8,19.7,24,7.6,6.2,9.3
JawaTimur,41.3,40.2,42.5,42,40.9,43.2,16.6,15.8,17.5
Banten,38.4,35.9,40.9,37.9,35.5,40.4,23.7,21.7,25.9
Bali,60.5,57.8,63.1,29.3,27,31.8,10.2,8.7,11.9
Nusa Tenggara Barat,27.3,24.9,29.7,46.3,43.5,49.2,26.4,24,29
Nusa Tenggara Timur,24.5,22.7,26.3,20.9,19.1,22.8,54.6,52.4,56.8
Kalimantan,28.4,26.1,31,25.6,23,28.4,45.9,43.4,48.5
Kalimantan,28.3,25.6,31.1,24.1,21.1,27.3,47.7,44.6,50.8
Kalimantan,39.3,36.9,41.8,39.8,37.2,42.4,20.9,18.9,23.1
Kalimantan,43.9,40.6,47.2,27.6,24.6,30.8,28.5,25.7,31.5
Kalimantan,39.1,34,44.4,33.6,28.4,39.1,27.4,23.8,31.2
Sulawesi Utara,35.8,33.3,38.4,34.9,32.3,37.6,29.3,26.7,32
Sulawesi Tengah,30.3,27.9,32.9,28,25.3,30.8,41.7,38.8,44.7
Sulawesi Selatan,29.8,28.2,31.5,43.2,41.3,45.1,27,25.4,28.7
Sulawesi Tenggara,27.9,25.3,30.6,36.8,33.7,40,35.4,32.2,38.7
Gorontalo,33.1,29.8,36.7,34.1,30.1,38.4,32.8,28.9,36.9
Sulawesi Barat,21,17.3,25.3,28.4,24.1,33,50.6,45.7,55.5
Maluku,26.8,23.2,30.7,28.6,24.9,32.5,44.7,40.7,48.7
Maluku Utara,31.4,28.3,34.7,26.5,23.1,30.2,42.1,38,46.3
Papua Barat,34.5,30.3,39,25.9,22.2,30,39.6,34.8,44.5
Papua,19.3,17.4,21.3,21.5,19.2,23.9,59.3,56.6,61.9
INDONESIA,37.1,36.6,37.5,36.9,36.5,37.4,26,25.6,26.4
